chamber_id,recipe_id,step,sensor_window,sensor_id,n_wafers,n_used,center,sigma,ucl,lcl,cv,sample_min,sample_max,n_distinct,false_alarm_pct,qa_flags,limit_version,trigger_type,calc_window_n,k_sigma,q_low,q_high,q_lcl,q_ucl,created_at
C24_0,C6_0,6,settled,C11,6814,6814,-1.212,0.3723489561407088,0.28800000000000003,-2.7119999999999997,0.3072,-2.0,-1.0,3,0.0,deadband_floored;wide_limits,v1,initial,6814,3.0,0.00135,0.99865,-2.5,0.5,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,6,settled,C15,6814,6814,23.0,0.0,23.0,23.0,0.0,23.0,23.0,1,0.0,zero_sigma,v1,initial,6814,3.0,0.00135,0.99865,23.0,23.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,6,settled,C16,6814,6814,235.0,0.0,235.0,235.0,0.0,235.0,235.0,1,0.0,zero_sigma,v1,initial,6814,3.0,0.00135,0.99865,235.0,235.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,6,settled,C17,6814,6738,182.36060606060607,11.316293228477377,216.3094857460382,148.41172637517394,0.0621,160.0,206.0,80,0.0,,v1,initial,6738,3.0,0.00135,0.99865,159.0,207.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,6,settled,C31,6814,6814,0.0,0.0,0.0,0.0,,0.0,0.0,1,0.0,zero_sigma,v1,initial,6814,3.0,0.00135,0.99865,0.0,0.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,6,settled,C32,6814,6814,0.0,0.0,0.0,0.0,,0.0,0.0,1,0.0,zero_sigma,v1,initial,6814,3.0,0.00135,0.99865,0.0,0.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,6,settled,C57,6814,6814,11.0,0.0,11.0,11.0,0.0,11.0,11.0,1,0.0,zero_sigma,v1,initial,6814,3.0,0.00135,0.99865,11.0,11.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,6,settled,C58,6814,6764,11.987525252525252,0.006179150172090821,12.006062703041524,11.96898780200898,0.0005,11.975000000000001,12.004999999999999,10,0.704,,v1,initial,6764,3.0,0.00135,0.99865,11.975000000000001,12.01,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,6,settled,C61,6814,6700,-253.76326530612246,19.934302667929174,-193.96035730233496,-313.56617330990997,0.0786,-353.0,-233.0,273,4.403,high_false_alarm,v1,initial,6700,3.0,0.00135,0.99865,-370.901225,-231.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,6,settled,C62,6814,6700,-3657.886965376782,5.626539169073977,-3641.00734786956,-3674.766582884004,0.0015,-3677.0,-3644.0,109,1.321,,v1,initial,6700,3.0,0.00135,0.99865,-3696.401225,-3641.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,6,settled,C63,6814,6814,368.6,46.417418293605444,668.6,68.60000000000002,0.1259,300.0,400.0,2,0.0,deadband_floored,v1,initial,6814,3.0,0.00135,0.99865,100.0,700.0,2026-08-06T09:04:36.205914+00:00
C24_0,C6_0,6,settled,C9,6814,6721,32.40442769857434,3.7338631552227324,43.60601716424254,21.20283823290614,0.1152,27.866,41.8615,640,0.0,,v1,initial,6721,3.0,0.00135,0.99865,27.7532481,42.0175,2026-08-06T09:04:36.205914+00:00
