wafer,chamber,C6,t,seg,in_val,ae_raw,ae_score,ewma,ae_drift_score,z,anom_z,anom_band,drift_pts,score_ae_z,score_ae_band,score_ae_sum
C64_566,C24_0,C6_0,1543599180.3,seg1,False,21.889987883904976,0.0,0.044954826822458584,0.0,-0.6368339380075962,0,0,0,0,0,0
C64_567,C24_0,C6_0,1543599294.4,seg1,False,33.80693584668615,0.0,0.04270708548133565,0.0,-0.3382609848634208,0,0,0,0,0,0
C64_568,C24_0,C6_0,1543599408.4,seg1,False,41.26474304793535,0.0542291387017111,0.04328318814235442,0.0,-0.15140949176206103,0,0,0,0,0,0
C64_569,C24_0,C6_0,1543599522.4,seg1,False,50.780232264432605,0.0634570839829917,0.04429188293438628,0.0,0.08699615747416288,0,0,0,0,0,0
C64_560,C24_0,C6_0,1543599633.4,seg1,False,61.75588069549457,0.0741010646385335,0.045782342019593636,0.0,0.36198533884586814,0,0,0,0,0,0
C64_570,C24_0,C6_0,1543599747.5,seg1,False,30.668000922876203,0.0,0.04349322491861395,0.0,-0.41690537207198924,0,0,0,0,0,0
C64_557,C24_0,C6_0,1543599900.5,seg1,False,35.950646804122435,0.0,0.04131856367268325,0.0,-0.2845514181817263,0,0,0,0,0,0
C64_556,C24_0,C6_0,1543600026.6,seg1,False,66.67809982016482,0.078874541620272,0.04319636257006269,0.0,0.48530898720495264,0,0,0,0,0,0
C64_555,C24_0,C6_0,1543600137.6,seg1,False,65.57147670129847,0.0778013590065821,0.04492661239188865,0.0,0.4575831186646629,0,0,0,0,0,0
C64_554,C24_0,C6_0,1543600248.6,seg1,False,32.90858638740136,0.0,0.042680281772294215,0.0,-0.36076866483750847,0,0,0,0,0,0
C64_553,C24_0,C6_0,1543600359.7,seg1,False,73.46160215588777,0.0854530566020307,0.044818920513781044,0.0,0.6552661214781592,0,0,0,0,0,0
C64_546,C24_0,C6_0,1543600470.7,seg1,False,20.594456730579264,0.0,0.04257797448809199,0.0,-0.6692927994163075,0,0,0,0,0,0
C64_552,C24_0,C6_0,1543600581.8,seg1,False,22.797322820505368,0.0,0.040449075763687385,0.0,-0.6141011315576771,0,0,0,0,0,0
C64_551,C24_0,C6_0,1543600692.8,seg1,False,30.88351674805836,0.0,0.03842662197550301,0.0,-0.41150573480119573,0,0,0,0,0,0
C64_550,C24_0,C6_0,1543600803.9,seg1,False,24.70234227084701,0.0,0.03650529087672786,0.0,-0.5663718568422026,0,0,0,0,0,0
C64_549,C24_0,C6_0,1543600914.9,seg1,False,28.88130070698826,0.0,0.03468002633289147,0.0,-0.46167021970806976,0,0,0,0,0,0
C64_548,C24_0,C6_0,1543601026.2,seg1,False,41.428960022837565,0.0543883932838116,0.03566544468043747,0.0,-0.14729512059034072,0,0,0,0,0,0
C64_558,C24_0,C6_0,1543601137.9,seg1,False,39.79388063142992,0.0528027235603569,0.03652230862443344,0.0,-0.18826118707334208,0,0,0,0,0,0
C64_547,C24_0,C6_0,1543601278.1,seg1,False,29.415749135955277,0.0,0.034696193193211766,0.0,-0.4482798913926051,0,0,0,0,0,0
C64_517,C24_0,C6_0,1543601404.1,seg1,False,58.87746086784045,0.0713096263780504,0.0365268648524537,0.0,0.28986802231351766,0,0,0,0,0,0
C64_516,C24_0,C6_0,1543601521.2,seg1,False,33.55924314188503,0.0,0.03470052160983101,0.0,-0.34446679717171597,0,0,0,0,0,0
C64_515,C24_0,C6_0,1543601635.2,seg1,False,63.56902833926192,0.0758594216565374,0.03675846661216633,0.0,0.40741281307641597,0,0,0,0,0,0
